Date	DATE_KEY	Month	Year	Weekday	Weekday No	Day of Month	Month of Year	Quarter	Week of Month	Week of Year	Month No
01/07/2017 12:00:00 AM	20170701	Jul	2017	Saturday	6	1	Saturday, July 1, 2017	3	1	26	7
02/07/2017 12:00:00 AM	20170702	Jul	2017	Sunday	7	2	Saturday, July 1, 2017	3	1	26	7
03/07/2017 12:00:00 AM	20170703	Jul	2017	Monday	1	3	Saturday, July 1, 2017	3	1	27	7
04/07/2017 12:00:00 AM	20170704	Jul	2017	Tuesday	2	4	Saturday, July 1, 2017	3	1	27	7
05/07/2017 12:00:00 AM	20170705	Jul	2017	Wednesday	3	5	Saturday, July 1, 2017	3	1	27	7
06/07/2017 12:00:00 AM	20170706	Jul	2017	Thursday	4	6	Saturday, July 1, 2017	3	1	27	7
07/07/2017 12:00:00 AM	20170707	Jul	2017	Friday	5	7	Saturday, July 1, 2017	3	1	27	7
08/07/2017 12:00:00 AM	20170708	Jul	2017	Saturday	6	8	Saturday, July 1, 2017	3	2	27	7
09/07/2017 12:00:00 AM	20170709	Jul	2017	Sunday	7	9	Saturday, July 1, 2017	3	2	27	7
10/07/2017 12:00:00 AM	20170710	Jul	2017	Monday	1	10	Saturday, July 1, 2017	3	2	28	7
11/07/2017 12:00:00 AM	20170711	Jul	2017	Tuesday	2	11	Saturday, July 1, 2017	3	2	28	7
12/07/2017 12:00:00 AM	20170712	Jul	2017	Wednesday	3	12	Saturday, July 1, 2017	3	2	28	7
13/07/2017 12:00:00 AM	20170713	Jul	2017	Thursday	4	13	Saturday, July 1, 2017	3	2	28	7
14/07/2017 12:00:00 AM	20170714	Jul	2017	Friday	5	14	Saturday, July 1, 2017	3	2	28	7
15/07/2017 12:00:00 AM	20170715	Jul	2017	Saturday	6	15	Saturday, July 1, 2017	3	3	28	7
16/07/2017 12:00:00 AM	20170716	Jul	2017	Sunday	7	16	Saturday, July 1, 2017	3	3	28	7
17/07/2017 12:00:00 AM	20170717	Jul	2017	Monday	1	17	Saturday, July 1, 2017	3	3	29	7
18/07/2017 12:00:00 AM	20170718	Jul	2017	Tuesday	2	18	Saturday, July 1, 2017	3	3	29	7
19/07/2017 12:00:00 AM	20170719	Jul	2017	Wednesday	3	19	Saturday, July 1, 2017	3	3	29	7
20/07/2017 12:00:00 AM	20170720	Jul	2017	Thursday	4	20	Saturday, July 1, 2017	3	3	29	7
21/07/2017 12:00:00 AM	20170721	Jul	2017	Friday	5	21	Saturday, July 1, 2017	3	3	29	7
22/07/2017 12:00:00 AM	20170722	Jul	2017	Saturday	6	22	Saturday, July 1, 2017	3	4	29	7
23/07/2017 12:00:00 AM	20170723	Jul	2017	Sunday	7	23	Saturday, July 1, 2017	3	4	29	7
24/07/2017 12:00:00 AM	20170724	Jul	2017	Monday	1	24	Saturday, July 1, 2017	3	4	30	7
25/07/2017 12:00:00 AM	20170725	Jul	2017	Tuesday	2	25	Saturday, July 1, 2017	3	4	30	7
26/07/2017 12:00:00 AM	20170726	Jul	2017	Wednesday	3	26	Saturday, July 1, 2017	3	4	30	7
27/07/2017 12:00:00 AM	20170727	Jul	2017	Thursday	4	27	Saturday, July 1, 2017	3	4	30	7
28/07/2017 12:00:00 AM	20170728	Jul	2017	Friday	5	28	Saturday, July 1, 2017	3	4	30	7
