BU	Location Level 1	Local Level 2	DISTRIBUTOR_KEY	BU_ORDER	LOCATION_ORDER
ĐMX	Đông Nam Bộ	Ba Ria - Vung Tau	0	2	4
ĐMX	Đông Nam Bộ	Binh Duong	1	2	4
ĐMX	Đông Nam Bộ	Binh Phuoc	2	2	4
ĐMX	Đông Nam Bộ	Binh Thuan	3	2	4
ĐMX	Đông Nam Bộ	Dong Nai	4	2	4
ĐMX	Đông Nam Bộ	Tay Ninh	5	2	4
ĐMX	HCM	Ho Chi Minh	6	2	5
ĐMX	HNI	Ha Noi	7	2	2
ĐMX	Miền Bắc 1	Bac Giang	8	2	0
ĐMX	Miền Bắc 1	Bac Ninh	9	2	0
ĐMX	Miền Bắc 1	Hoa Binh	10	2	0
ĐMX	Miền Bắc 1	Lao Cai	11	2	0
ĐMX	Miền Bắc 1	Phu Tho	12	2	0
ĐMX	Miền Bắc 1	Quang Ninh	13	2	0
ĐMX	Miền Bắc 1	Thai Nguyen	14	2	0
ĐMX	Miền Bắc 1	Vinh Phuc	15	2	0
ĐMX	Miền Bắc 2	Hai Duong	16	2	1
ĐMX	Miền Bắc 2	Hai Phong	17	2	1
ĐMX	Miền Bắc 2	Ha Tinh	18	2	1
ĐMX	Miền Bắc 2	Hung Yen	19	2	1
ĐMX	Miền Bắc 2	Nghe An	20	2	1
ĐMX	Miền Bắc 2	Ninh Binh	21	2	1
ĐMX	Miền Bắc 2	Nam Dinh	22	2	1
ĐMX	Miền Bắc 2	Quang Binh	23	2	1
ĐMX	Miền Bắc 2	Quang Tri	24	2	1
ĐMX	Miền Bắc 2	Thanh Hoa	25	2	1
ĐMX	Miền Trung	Binh Dinh	26	2	3
ĐMX	Miền Trung	Da Nang	27	2	3
ĐMX	Miền Trung	Dak Nong	28	2	3
ĐMX	Miền Trung	Dak Lak	29	2	3
ĐMX	Miền Trung	Gia Lai	30	2	3
ĐMX	Miền Trung	Khanh Hoa	31	2	3
ĐMX	Miền Trung	Kon Tum	32	2	3
ĐMX	Miền Trung	Lam Dong	33	2	3
ĐMX	Miền Trung	Ninh Thuan	34	2	3
ĐMX	Miền Trung	Phu Yen	35	2	3
ĐMX	Miền Trung	Quang Ngai	36	2	3
ĐMX	Miền Trung	Quang Nam	37	2	3
ĐMX	Miền Trung	Hue	38	2	3
ĐMX	Tây Nam Bộ	An Giang	39	2	6
ĐMX	Tây Nam Bộ	Bac Lieu	40	2	6
ĐMX	Tây Nam Bộ	Ben Tre	41	2	6
ĐMX	Tây Nam Bộ	Ca Mau	42	2	6
ĐMX	Tây Nam Bộ	Can Tho	43	2	6
ĐMX	Tây Nam Bộ	Dong Thap	44	2	6
ĐMX	Tây Nam Bộ	Kien Giang	45	2	6
ĐMX	Tây Nam Bộ	Long An	46	2	6
ĐMX	Tây Nam Bộ	Soc Trang	47	2	6
ĐMX	Tây Nam Bộ	Tien Giang	48	2	6
ĐMX	Tây Nam Bộ	Tra Vinh	49	2	6
ĐMX	Tây Nam Bộ	Vinh Long	50	2	6
ĐMX	Miền Bắc 1	Dien Bien	51	2	0
ĐMX	Miền Bắc 1	Ha Giang	52	2	0
ĐMX	Miền Bắc 1	Lai Chau	53	2	0
ĐMX	Miền Bắc 1	Tuyen Quang	54	2	0
ĐMX	Miền Bắc 1	Yen Bai	55	2	0
ĐMX	Miền Bắc 2	Ha Nam	56	2	1
ĐMX	Miền Bắc 2	Thai Binh	57	2	1
ĐMX	Tây Nam Bộ	Hau Giang	58	2	6
ĐMX	Miền Bắc 1	Bac Kan	59	2	0
ĐMX	Miền Bắc 1	Son La	60	2	0
